																											
																											
	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
South Korea	93.9710569	100.8474376	111.4068176	124.9804519	132.8880883	145.7110753	158.1698687	172.3204737	157.6025852	174.4997845	190.0622525	193.3489479	201.4574089	205.8052983	212.1164072	213.8877375	217.7122428	226.759182	231.9754603	234.3383107	255.6013406	266.5203008	270.541174	271.5178039	276.8201462	279.9433345	287.8003301
Taiwan	47.74877391	51.58422157	53.73106657	57.55027612	60.34276578	63.52616154	66.84015822	70.58482893	75.40003158	78.55512938	84.8444734	88.92934494	93.18947577	96.42673594	101.1646945	102.3756673	104.4233132	110.0863535	105.5979593	102.7478821	111.4587011	109.3958103	106.5416977	108.2349464	110.2408496	108.7375181	109.6936417
Thailand	41.94871433	45.55329407	48.53328968	51.21163303	56.62905852	61.92953962	69.24742677	70.53808284	66.1388637	70.61053643	72.29423269	74.39748119	82.27182932	89.12388088	96.30830294	99.01958434	100.9708352	105.2514568	108.12883	107.7256972	117.8622374	117.7222822	126.2346893	135.7577466	134.7853772	137.2124597	139.1951801
Australia	87.15938698	85.99447669	87.42071995	91.41820796	91.7672663	93.76840767	100.1708849	101.3567214	104.0648307	106.3955741	108.3154583	105.8224252	109.423001	109.9575213	111.8638018	113.4830934	118.1839297	122.2332235	126.7614626	127.1799133	127.6576066	128.3719724	126.771798	126.5887675	125.3470323	126.7106826	117.3991042
New Zealand	13.3164403	13.51396238	13.96186701	14.61882135	15.01141212	15.02759368	15.41395828	15.92806149	15.75207546	16.43446354	17.226659	17.32874891	17.3658797	17.12311658	17.54083252	17.20844578	17.27521384	17.50225575	17.79803564	17.97485286	18.81199477	18.74564323	19.6449351	19.60125943	20.82162701	20.75431147	21.14423635
Algeria	22.0583796	23.35245308	23.91854217	23.98115802	23.07979064	24.09630543	23.25661515	23.865789	24.64375451	26.34394555	26.7032168	26.7941325	28.52036434	29.99662789	29.90554476	30.91226142	33.40039674	35.63165832	36.35326839	40.03751136	39.44050046	41.16635228	45.26192342	47.07480317	51.38928973	53.79190291	55.20702826
Egypt	32.24281587	32.26159707	33.10462312	34.3284784	33.03857582	35.13456243	37.29152799	38.83840677	41.6152797	42.54472622	40.59504506	45.59109619	47.02990179	48.8184266	52.76864573	61.48483239	64.96664056	69.58908083	72.28793424	73.96371796	72.5541699	76.14375345	78.27446772	75.0349194	74.83868356	75.83703364	79.86892725
Nigeria	66.43421481	69.61812794	72.36980759	73.53286482	71.7302629	73.70677653	76.83832716	79.44023647	79.98471708	82.84806274	86.05883519	90.35599142	93.25079656	98.54943777	101.3383919	105.3288867	106.2029079	109.9485084	113.2113826	111.4153397	119.9028232	126.8216456	133.5784945	134.025026	134.7343698	136.2153088	136.8068607
South Africa	91.65883934	95.68418634	89.22990717	94.94042199	98.17056034	103.5461262	105.8121917	108.6724195	107.9618169	109.266866	109.0438847	112.1539232	110.0325168	117.6578526	128.461971	128.2552303	127.3276598	136.3520576	146.8735752	143.9806445	141.7879427	141.2922298	139.3164641	139.7520808	147.037	142.7820569	144.8148944
Iran	69.33448944	76.86253291	80.90974841	87.11384061	96.71086711	101.2197218	97.63475607	109.2679713	111.2791386	126.2397416	123.0433177	133.4942266	138.0777409	142.6947165	155.6166685	172.7012319	180.4956001	190.9763079	204.6551694	204.2646916	204.3258659	208.4032386	216.8119677	221.0405435	237.1605428	243.0275911	248.3016518
Kuwait	9.114936332	2.691919536	8.826104021	12.30651626	14.43676914	14.80183272	14.55728049	14.704979	16.79887321	18.02837737	18.72683068	19.98569038	20.55196624	21.90276297	23.37103883	26.28477509	25.66615521	26.26763548	28.71665707	31.41319105	32.0808278	32.38527186	37.19657704	34.93849377	33.88316713	36.86037389	37.07984478
Saudi Arabia	58.00086042	67.51470552	76.93102379	79.86447038	84.0277914	84.51221769	90.46435044	86.2706007	91.93735032	93.59670745	97.86460081	100.4574277	111.2601363	112.5831153	119.8126082	122.5602998	135.8069351	140.3337164	156.554275	166.6562802	185.5043434	178.1395957	200.3667435	192.1995485	213.5229603	223.4796535	222.7468515
United Arab Emirates	20.42594003	23.49031162	22.35890167	23.51691897	26.05970613	27.69961451	29.24531522	30.89278818	31.59167795	32.25755648	31.52725972	40.20861401	39.88575991	39.24160645	41.88901691	44.53507734	46.23621012	50.26960084	59.58807948	60.22795579	61.62040184	64.26511577	68.31806243	69.87245375	70.39836557	75.71238769	78.17266268
